despinoza      02/09/2010 12:45:46 0	1	0
tescriva       02/09/2010 12:47:05 D	0	0
rsoliz         02/09/2010 12:49:17 0	1	0
jromay         02/09/2010 13:33:06 0	1	0
vsoliz         02/09/2010 13:37:36 D	1	0
cmollo         02/09/2010 13:37:43 D	1	0
randia         02/09/2010 13:54:50 D	1	0
gmontano       02/09/2010 14:02:52 D	1	0
rcordero       02/09/2010 14:07:34 0	1	0
rcordero       02/09/2010 14:07:44 D	1	0
aponce         02/09/2010 14:11:12 D	1	0
vdaga          02/09/2010 14:11:32 D	1	0
lortuno        02/09/2010 14:12:32 D	1	0
aencinas       02/09/2010 14:13:35 D	1	0
alaura         02/09/2010 14:15:00 D	1	0
fsanchez       02/09/2010 14:19:48 D	1	0
nzurita        02/09/2010 14:22:01 D	1	0
jvargas        02/09/2010 14:22:16 D	1	0
despinoza      02/09/2010 14:23:02 D	1	0
jgarcia        02/09/2010 14:24:55 D	1	0
rmartinez      02/09/2010 14:26:30 D	1	0
jcanedo        02/09/2010 14:27:04 D	1	0
icespedes      02/09/2010 14:29:47 D	1	0
mgrandillert   02/09/2010 14:29:58 D	0	0
jsolorzano     02/09/2010 14:30:40 D	1	0
tescriva       02/09/2010 14:34:06 D	0	0
lgalindo       02/09/2010 14:34:16 D	1	0
rvera          02/09/2010 14:37:44 D	1	0
rsoliz         02/09/2010 14:37:50 D	1	0
vbadani        02/09/2010 14:38:23 D	1	0
fmeza          02/09/2010 14:38:30 D	1	0
ecotana        02/09/2010 14:39:34 D	0	0
eudaeta        02/09/2010 14:47:15 D	1	0
lsaravia       02/09/2010 14:55:49 D	1	0
eyrady         02/09/2010 18:28:20 0	1	0
jvargas        02/09/2010 18:32:51 0	1	0
jcanedo        02/09/2010 18:33:07 0	1	0
gmontano       02/09/2010 18:36:30 0	1	0
aencinas       02/09/2010 18:36:42 0	1	0
ecotana        02/09/2010 18:37:20 D	0	0
lortuno        02/09/2010 18:38:22 0	1	0
jsolorzano     02/09/2010 18:38:44 0	1	0
despinoza      02/09/2010 18:40:22 0	1	0
rmartinez      02/09/2010 18:47:15 0	1	0
mgrandillert   02/09/2010 18:54:21 0	0	0
eudaeta        02/09/2010 18:54:41 0	1	0
baranibar      02/09/2010 18:55:04 0	1	0
lsaravia       02/09/2010 18:55:12 0	1	0
fmeza          02/09/2010 18:57:01 0	1	0
jmita          02/09/2010 19:02:27 0	1	0
lgalindo       02/09/2010 19:02:44 0	1	0
tescriva       02/09/2010 19:07:31 D	0	0
jgarcia        02/09/2010 19:11:12 0	1	0
aponce         02/09/2010 19:36:54 0	1	0
rvera          02/09/2010 19:37:29 0	1	0
rcordero       02/09/2010 19:39:56 0	1	0
nzurita        02/09/2010 19:44:17 0	1	0
jquispe        02/09/2010 19:45:10 0	1	0
jleano         02/09/2010 20:22:52 D	1	0
jleano         02/09/2010 20:22:57 D	1	0
vbadani        02/09/2010 20:48:41 0	1	0
rsoliz         02/09/2010 21:12:51 0	1	0
cmollo         02/09/2010 21:15:45 0	1	0
jparra         02/09/2010 22:01:42 D	1	0
jbalderrama    02/09/2010 23:50:31 D	1	0
jbalderrama    02/09/2010 23:50:40 0	1	0
drocha         02/10/2010 00:43:31 D	1	0
agutierrez     02/10/2010 00:47:21 D	1	0
mescobar       02/10/2010 00:47:42 0	1	0
mescobar       02/10/2010 07:46:27 D	1	0
randia         02/10/2010 07:52:19 D	1	0
lortuno        02/10/2010 07:57:01 D	1	0
rmartinez      02/10/2010 07:59:59 D	1	0
rcoronel       02/10/2010 08:07:49 D	1	0
nnumbela       02/10/2010 08:10:59 D	1	0
jfuertes       02/10/2010 08:11:24 D	1	0
pclaros        02/10/2010 08:12:03 D	1	0
agarcia        02/10/2010 08:15:39 D	1	0
jsolorzano     02/10/2010 08:16:32 D	1	0
vbadani        02/10/2010 08:16:39 D	1	0
hmantezana     02/10/2010 08:17:29 D	1	0
icespedes      02/10/2010 08:21:47 D	1	0
jleano         02/10/2010 08:22:23 D	1	0
jmita          02/10/2010 08:22:30 D	1	0
jgarcia        02/10/2010 08:25:21 D	1	0
rsoliz         02/10/2010 08:25:29 D	1	0
eyrady         02/10/2010 08:25:46 D	1	0
jbalderrama    02/10/2010 08:25:56 D	1	0
amaldonado     02/10/2010 08:26:03 D	1	0
jcanedo        02/10/2010 08:27:30 D	1	0
eudaeta        02/10/2010 08:27:39 D	1	0
jvargas        02/10/2010 08:27:54 D	1	0
mgrandillert   02/10/2010 08:28:01 D	0	0
tescriva       02/10/2010 08:32:00 D	0	0
czamora        02/10/2010 08:32:13 D	1	0
gmontano       02/10/2010 08:32:43 D	1	0
ecotana        02/10/2010 08:32:52 D	0	0
aencinas       02/10/2010 08:33:33 D	1	0
fsanchez       02/10/2010 08:35:46 D	1	0
despinoza      02/10/2010 08:36:29 D	1	0
rcordero       02/10/2010 08:37:18 D	1	0
eargandona     02/10/2010 08:37:44 D	1	0
lgalindo       02/10/2010 08:41:24 D	1	0
fmeza          02/10/2010 08:43:42 D	1	0
nzurita        02/10/2010 08:49:59 D	1	0
lsaravia       02/10/2010 09:03:24 D	1	0
eyrady         02/10/2010 12:26:06 D	1	0
jvargas        02/10/2010 12:31:22 0	1	0
lsaravia       02/10/2010 12:31:31 0	1	0
jcanedo        02/10/2010 12:31:38 0	1	0
jsolorzano     02/10/2010 12:31:49 0	1	0
